,model,bootstrap_iteration,feature,feature_importance
49,GenMetS + covariates,7,Age,0.6390259695873836
50,GenMetS + covariates,7,GenMetS,0.19752374299090253
51,GenMetS + covariates,7,SocialEconomicalStatus,0.06606316121216387
52,GenMetS + covariates,7,PhysicalActivity,0.046353814485056495
53,GenMetS + covariates,7,Sleephour,0.022304231094550535
54,GenMetS + covariates,7,TVhour,0.008377811005142257
55,GenMetS + covariates,7,Education,0.0
56,GenMetS + covariates,8,Age,0.23627296363055394
57,GenMetS + covariates,8,GenMetS,0.08345987047941074
58,GenMetS + covariates,8,PhysicalActivity,0.02785249158155712
59,GenMetS + covariates,8,TVhour,0.022237349715285522
60,GenMetS + covariates,8,SocialEconomicalStatus,0.014983692054872893
61,GenMetS + covariates,8,Education,0.01298288152547607
62,GenMetS + covariates,8,Sleephour,0.0045068821340674735
63,GenMetS + covariates,9,Age,0.7087734461288563
64,GenMetS + covariates,9,GenMetS,0.22383198179678424
65,GenMetS + covariates,9,SocialEconomicalStatus,0.12351781709124597
66,GenMetS + covariates,9,PhysicalActivity,0.10745210687624948
67,GenMetS + covariates,9,TVhour,0.04496457356179104
68,GenMetS + covariates,9,Sleephour,0.023316973808129637
69,GenMetS + covariates,9,Education,0.010213295590709631
70,GenMetS + covariates,10,Age,0.4386775896366115
71,GenMetS + covariates,10,GenMetS,0.12111654026355535
72,GenMetS + covariates,10,PhysicalActivity,0.029629260492621764
73,GenMetS + covariates,10,SocialEconomicalStatus,0.028438683268245182
74,GenMetS + covariates,10,Sleephour,0.015747519766708552
75,GenMetS + covariates,10,Education,0.00767055580946273
76,GenMetS + covariates,10,TVhour,0.005681742015294733
77,GenMetS + covariates,11,Age,0.6390259695873836
78,GenMetS + covariates,11,GenMetS,0.19752374299090253
79,GenMetS + covariates,11,SocialEconomicalStatus,0.06606316121216387
80,GenMetS + covariates,11,PhysicalActivity,0.046353814485056495
81,GenMetS + covariates,11,Sleephour,0.022304231094550535
82,GenMetS + covariates,11,TVhour,0.008377811005142257
83,GenMetS + covariates,11,Education,0.0
84,GenMetS + covariates,12,Age,0.42457374329847203
85,GenMetS + covariates,12,GenMetS,0.11143021820515583
86,GenMetS + covariates,12,SocialEconomicalStatus,0.01621522451011451
87,GenMetS + covariates,12,Sleephour,0.010056643850230711
88,GenMetS + covariates,12,PhysicalActivity,0.008815043640263982
89,GenMetS + covariates,12,Education,0.0033292896073298466
90,GenMetS + covariates,12,TVhour,0.0015176447037554964
91,GenMetS + covariates,13,Age,0.6295455856827535
92,GenMetS + covariates,13,GenMetS,0.20050447852940634
93,GenMetS + covariates,13,PhysicalActivity,0.07215905023259964
94,GenMetS + covariates,13,SocialEconomicalStatus,0.06613411439326923
95,GenMetS + covariates,13,TVhour,0.04082748289672577
96,GenMetS + covariates,13,Education,0.010672867026567
97,GenMetS + covariates,13,Sleephour,0.009200228403099413
98,GenMetS + covariates,14,Age,0.42457374329847203
99,GenMetS + covariates,14,GenMetS,0.11143021820515583
100,GenMetS + covariates,14,SocialEconomicalStatus,0.01621522451011451
101,GenMetS + covariates,14,Sleephour,0.010056643850230711
102,GenMetS + covariates,14,PhysicalActivity,0.008815043640263982
103,GenMetS + covariates,14,Education,0.0033292896073298466
104,GenMetS + covariates,14,TVhour,0.0015176447037554964
105,GenMetS + covariates,15,Age,0.4409227099929518
106,GenMetS + covariates,15,GenMetS,0.12059530637264294
107,GenMetS + covariates,15,PhysicalActivity,0.031394407431115226
108,GenMetS + covariates,15,SocialEconomicalStatus,0.029639422770136228
109,GenMetS + covariates,15,Sleephour,0.015300953778885892
110,GenMetS + covariates,15,Education,0.007666046273503962
111,GenMetS + covariates,15,TVhour,0.005369094267576078
112,GenMetS + covariates,16,Age,0.42357986138655834
113,GenMetS + covariates,16,GenMetS,0.11128338638389762
114,GenMetS + covariates,16,SocialEconomicalStatus,0.016091683028154353
115,GenMetS + covariates,16,Sleephour,0.011370240092444755
116,GenMetS + covariates,16,PhysicalActivity,0.008019293485845538
117,GenMetS + covariates,16,Education,0.003326005069489765
118,GenMetS + covariates,16,TVhour,0.0015187735212343733
119,GenMetS + covariates,17,Age,0.44101448344805755
120,GenMetS + covariates,17,GenMetS,0.1320254613226197
121,GenMetS + covariates,17,PhysicalActivity,0.027163279888541524
122,GenMetS + covariates,17,SocialEconomicalStatus,0.019757598316428916
123,GenMetS + covariates,17,Sleephour,0.019377414971412984
124,GenMetS + covariates,17,TVhour,0.0
125,GenMetS + covariates,17,Education,0.0
126,GenMetS + covariates,18,Age,0.5595167203181959
127,GenMetS + covariates,18,GenMetS,0.19769745684373072
128,GenMetS + covariates,18,PhysicalActivity,0.066229478760137
129,GenMetS + covariates,18,TVhour,0.03246074238582187
130,GenMetS + covariates,18,SocialEconomicalStatus,0.027190102334855713
131,GenMetS + covariates,18,Education,0.01250158884155917
132,GenMetS + covariates,18,Sleephour,0.0
133,GenMetS + covariates,19,Age,0.6190688946245332
134,GenMetS + covariates,19,GenMetS,0.20212357016293417
135,GenMetS + covariates,19,PhysicalActivity,0.06289961994053384
136,GenMetS + covariates,19,SocialEconomicalStatus,0.05652165858340643
137,GenMetS + covariates,19,TVhour,0.0285277595494802
138,GenMetS + covariates,19,Sleephour,0.027915482245169168
139,GenMetS + covariates,19,Education,0.005958025804409301
140,GenMetS + covariates,20,Age,0.4408222438191356
141,GenMetS + covariates,20,GenMetS,0.12085308790595509
142,GenMetS + covariates,20,PhysicalActivity,0.03027505306466659
143,GenMetS + covariates,20,SocialEconomicalStatus,0.029394893991128834
144,GenMetS + covariates,20,Sleephour,0.014057190690708555
145,GenMetS + covariates,20,Education,0.007663210591870695
146,GenMetS + covariates,20,TVhour,0.0053656569187870455
147,GenMetS + covariates,21,Age,0.42373727697897096
148,GenMetS + covariates,21,GenMetS,0.11128334480154166
149,GenMetS + covariates,21,SocialEconomicalStatus,0.01609268273466304
150,GenMetS + covariates,21,Sleephour,0.010951338011310723
151,GenMetS + covariates,21,PhysicalActivity,0.008019293313518049
152,GenMetS + covariates,21,Education,0.003325832052054671
153,GenMetS + covariates,21,TVhour,0.0015184216834539153
154,GenMetS + covariates,22,Age,0.44101448344805755
155,GenMetS + covariates,22,GenMetS,0.1320254613226197
156,GenMetS + covariates,22,PhysicalActivity,0.027163279888541524
157,GenMetS + covariates,22,SocialEconomicalStatus,0.019757598316428916
158,GenMetS + covariates,22,Sleephour,0.019377414971412984
159,GenMetS + covariates,22,TVhour,0.0
160,GenMetS + covariates,22,Education,0.0
161,GenMetS + covariates,23,Age,0.4124729906906688
162,GenMetS + covariates,23,GenMetS,0.11540516123851997
163,GenMetS + covariates,23,Sleephour,0.015931855937479155
164,GenMetS + covariates,23,SocialEconomicalStatus,0.01337002147025995
165,GenMetS + covariates,23,PhysicalActivity,0.002339784058793057
166,GenMetS + covariates,23,TVhour,0.0
167,GenMetS + covariates,23,Education,0.0
168,GenMetS + covariates,24,Age,0.23562166494248024
169,GenMetS + covariates,24,GenMetS,0.08202462908128128
170,GenMetS + covariates,24,TVhour,0.021332383335118745
171,GenMetS + covariates,24,PhysicalActivity,0.01851695855455572
172,GenMetS + covariates,24,Education,0.008180471102208637
173,GenMetS + covariates,24,SocialEconomicalStatus,0.008173048155624942
174,GenMetS + covariates,24,Sleephour,0.0036313128075316403
175,GenMetS + covariates,25,Age,0.4409227099929518
176,GenMetS + covariates,25,GenMetS,0.12059530637264294
177,GenMetS + covariates,25,PhysicalActivity,0.031394407431115226
178,GenMetS + covariates,25,SocialEconomicalStatus,0.029639422770136228
179,GenMetS + covariates,25,Sleephour,0.015300953778885892
180,GenMetS + covariates,25,Education,0.007666046273503962
181,GenMetS + covariates,25,TVhour,0.005369094267576078
182,GenMetS + covariates,26,Age,0.23562166494248024
183,GenMetS + covariates,26,GenMetS,0.08202462908128128
184,GenMetS + covariates,26,TVhour,0.021332383335118745
185,GenMetS + covariates,26,PhysicalActivity,0.01851695855455572
186,GenMetS + covariates,26,Education,0.008180471102208637
187,GenMetS + covariates,26,SocialEconomicalStatus,0.008173048155624942
188,GenMetS + covariates,26,Sleephour,0.0036313128075316403
189,GenMetS + covariates,27,Age,0.6390259695873836
190,GenMetS + covariates,27,GenMetS,0.19752374299090253
191,GenMetS + covariates,27,SocialEconomicalStatus,0.06606316121216387
192,GenMetS + covariates,27,PhysicalActivity,0.046353814485056495
193,GenMetS + covariates,27,Sleephour,0.022304231094550535
194,GenMetS + covariates,27,TVhour,0.008377811005142257
195,GenMetS + covariates,27,Education,0.0
196,GenMetS + covariates,28,Age,0.7357767432520959
197,GenMetS + covariates,28,GenMetS,0.22784424266063863
198,GenMetS + covariates,28,SocialEconomicalStatus,0.14187208952132158
199,GenMetS + covariates,28,PhysicalActivity,0.12447263405547616
200,GenMetS + covariates,28,TVhour,0.05320109997782526
201,GenMetS + covariates,28,Sleephour,0.033373049178687886
202,GenMetS + covariates,28,Education,0.027694687987415395
203,GenMetS + covariates,29,Age,0.23562166494248024
204,GenMetS + covariates,29,GenMetS,0.08202462908128128
205,GenMetS + covariates,29,TVhour,0.021332383335118745
206,GenMetS + covariates,29,PhysicalActivity,0.01851695855455572
207,GenMetS + covariates,29,Education,0.008180471102208637
208,GenMetS + covariates,29,SocialEconomicalStatus,0.008173048155624942
209,GenMetS + covariates,29,Sleephour,0.0036313128075316403
210,GenMetS + covariates,30,Age,0.4409227099929518
211,GenMetS + covariates,30,GenMetS,0.12059530637264294
212,GenMetS + covariates,30,PhysicalActivity,0.031394407431115226
213,GenMetS + covariates,30,SocialEconomicalStatus,0.029639422770136228
214,GenMetS + covariates,30,Sleephour,0.015300953778885892
215,GenMetS + covariates,30,Education,0.007666046273503962
216,GenMetS + covariates,30,TVhour,0.005369094267576078
217,GenMetS + covariates,31,Age,0.6390259695873836
218,GenMetS + covariates,31,GenMetS,0.19752374299090253
219,GenMetS + covariates,31,SocialEconomicalStatus,0.06606316121216387
220,GenMetS + covariates,31,PhysicalActivity,0.046353814485056495
221,GenMetS + covariates,31,Sleephour,0.022304231094550535
222,GenMetS + covariates,31,TVhour,0.008377811005142257
223,GenMetS + covariates,31,Education,0.0
224,GenMetS + covariates,32,Age,0.6209828200311441
225,GenMetS + covariates,32,GenMetS,0.20552656963303548
226,GenMetS + covariates,32,PhysicalActivity,0.0637476185915835
227,GenMetS + covariates,32,SocialEconomicalStatus,0.054747668038594606
228,GenMetS + covariates,32,TVhour,0.02887656395736768
229,GenMetS + covariates,32,Sleephour,0.028453923478414255
230,GenMetS + covariates,32,Education,0.005958025804409301
231,GenMetS + covariates,33,Age,0.6390259695873836
232,GenMetS + covariates,33,GenMetS,0.19752374299090253
233,GenMetS + covariates,33,SocialEconomicalStatus,0.06606316121216387
234,GenMetS + covariates,33,PhysicalActivity,0.046353814485056495
235,GenMetS + covariates,33,Sleephour,0.022304231094550535
236,GenMetS + covariates,33,TVhour,0.008377811005142257
237,GenMetS + covariates,33,Education,0.0
238,GenMetS + covariates,34,Age,0.23701944785955875
239,GenMetS + covariates,34,GenMetS,0.08275938050630398
240,GenMetS + covariates,34,PhysicalActivity,0.027955987721377834
241,GenMetS + covariates,34,TVhour,0.02307813990343048
242,GenMetS + covariates,34,SocialEconomicalStatus,0.014167825587907093
243,GenMetS + covariates,34,Education,0.012737217295650902
244,GenMetS + covariates,34,Sleephour,0.006346982039993259
245,GenMetS + covariates,35,Age,0.4409227099929518
246,GenMetS + covariates,35,GenMetS,0.12059530637264294
247,GenMetS + covariates,35,PhysicalActivity,0.031394407431115226
248,GenMetS + covariates,35,SocialEconomicalStatus,0.029639422770136228
249,GenMetS + covariates,35,Sleephour,0.015300953778885892
250,GenMetS + covariates,35,Education,0.007666046273503962
251,GenMetS + covariates,35,TVhour,0.005369094267576078
252,GenMetS + covariates,36,Age,0.6190688946245332
253,GenMetS + covariates,36,GenMetS,0.20212357016293417
254,GenMetS + covariates,36,PhysicalActivity,0.06289961994053384
255,GenMetS + covariates,36,SocialEconomicalStatus,0.05652165858340643
256,GenMetS + covariates,36,TVhour,0.0285277595494802
257,GenMetS + covariates,36,Sleephour,0.027915482245169168
258,GenMetS + covariates,36,Education,0.005958025804409301
259,GenMetS + covariates,37,Age,0.7068008720888521
260,GenMetS + covariates,37,GenMetS,0.2185255319771068
261,GenMetS + covariates,37,SocialEconomicalStatus,0.12779878235892653
262,GenMetS + covariates,37,PhysicalActivity,0.10771516469347414
263,GenMetS + covariates,37,TVhour,0.05241012740742509
264,GenMetS + covariates,37,Sleephour,0.028794542910845967
265,GenMetS + covariates,37,Education,0.010098745165996152
266,GenMetS + covariates,38,Age,0.44101448344805755
267,GenMetS + covariates,38,GenMetS,0.1320254613226197
268,GenMetS + covariates,38,PhysicalActivity,0.027163279888541524
269,GenMetS + covariates,38,SocialEconomicalStatus,0.019757598316428916
270,GenMetS + covariates,38,Sleephour,0.019377414971412984
271,GenMetS + covariates,38,TVhour,0.0
272,GenMetS + covariates,38,Education,0.0
273,GenMetS + covariates,39,Age,0.6390259695873836
274,GenMetS + covariates,39,GenMetS,0.19752374299090253
275,GenMetS + covariates,39,SocialEconomicalStatus,0.06606316121216387
276,GenMetS + covariates,39,PhysicalActivity,0.046353814485056495
277,GenMetS + covariates,39,Sleephour,0.022304231094550535
278,GenMetS + covariates,39,TVhour,0.008377811005142257
279,GenMetS + covariates,39,Education,0.0
280,GenMetS + covariates,40,Age,0.6390259695873836
281,GenMetS + covariates,40,GenMetS,0.19752374299090253
282,GenMetS + covariates,40,SocialEconomicalStatus,0.06606316121216387
283,GenMetS + covariates,40,PhysicalActivity,0.046353814485056495
284,GenMetS + covariates,40,Sleephour,0.022304231094550535
285,GenMetS + covariates,40,TVhour,0.008377811005142257
286,GenMetS + covariates,40,Education,0.0
287,GenMetS + covariates,41,Age,0.44101448344805755
288,GenMetS + covariates,41,GenMetS,0.1320254613226197
289,GenMetS + covariates,41,PhysicalActivity,0.027163279888541524
290,GenMetS + covariates,41,SocialEconomicalStatus,0.019757598316428916
291,GenMetS + covariates,41,Sleephour,0.019377414971412984
292,GenMetS + covariates,41,TVhour,0.0
293,GenMetS + covariates,41,Education,0.0
294,GenMetS + covariates,42,Age,0.4386775896366115
295,GenMetS + covariates,42,GenMetS,0.12111654026355535
296,GenMetS + covariates,42,PhysicalActivity,0.029629260492621764
297,GenMetS + covariates,42,SocialEconomicalStatus,0.028438683268245182
298,GenMetS + covariates,42,Sleephour,0.015747519766708552
299,GenMetS + covariates,42,Education,0.00767055580946273
300,GenMetS + covariates,42,TVhour,0.005681742015294733
301,GenMetS + covariates,43,Age,0.44101448344805755
302,GenMetS + covariates,43,GenMetS,0.1320254613226197
303,GenMetS + covariates,43,PhysicalActivity,0.027163279888541524
304,GenMetS + covariates,43,SocialEconomicalStatus,0.019757598316428916
305,GenMetS + covariates,43,Sleephour,0.019377414971412984
306,GenMetS + covariates,43,TVhour,0.0
307,GenMetS + covariates,43,Education,0.0
308,GenMetS + covariates,44,Age,0.4409227099929518
309,GenMetS + covariates,44,GenMetS,0.12059530637264294
310,GenMetS + covariates,44,PhysicalActivity,0.031394407431115226
311,GenMetS + covariates,44,SocialEconomicalStatus,0.029639422770136228
312,GenMetS + covariates,44,Sleephour,0.015300953778885892
313,GenMetS + covariates,44,Education,0.007666046273503962
314,GenMetS + covariates,44,TVhour,0.005369094267576078
315,GenMetS + covariates,45,Age,0.6390259695873836
316,GenMetS + covariates,45,GenMetS,0.19752374299090253
317,GenMetS + covariates,45,SocialEconomicalStatus,0.06606316121216387
318,GenMetS + covariates,45,PhysicalActivity,0.046353814485056495
319,GenMetS + covariates,45,Sleephour,0.022304231094550535
320,GenMetS + covariates,45,TVhour,0.008377811005142257
321,GenMetS + covariates,45,Education,0.0
322,GenMetS + covariates,46,Age,0.6390259695873836
323,GenMetS + covariates,46,GenMetS,0.19752374299090253
324,GenMetS + covariates,46,SocialEconomicalStatus,0.06606316121216387
325,GenMetS + covariates,46,PhysicalActivity,0.046353814485056495
326,GenMetS + covariates,46,Sleephour,0.022304231094550535
327,GenMetS + covariates,46,TVhour,0.008377811005142257
328,GenMetS + covariates,46,Education,0.0
329,GenMetS + covariates,47,Age,0.6295455856827535
330,GenMetS + covariates,47,GenMetS,0.20050447852940634
331,GenMetS + covariates,47,PhysicalActivity,0.07215905023259964
332,GenMetS + covariates,47,SocialEconomicalStatus,0.06613411439326923
333,GenMetS + covariates,47,TVhour,0.04082748289672577
334,GenMetS + covariates,47,Education,0.010672867026567
335,GenMetS + covariates,47,Sleephour,0.009200228403099413
336,GenMetS + covariates,48,Age,0.6209828200311441
337,GenMetS + covariates,48,GenMetS,0.20552656963303548
338,GenMetS + covariates,48,PhysicalActivity,0.0637476185915835
339,GenMetS + covariates,48,SocialEconomicalStatus,0.054747668038594606
340,GenMetS + covariates,48,TVhour,0.02887656395736768
341,GenMetS + covariates,48,Sleephour,0.028453923478414255
342,GenMetS + covariates,48,Education,0.005958025804409301
343,GenMetS + covariates,49,Age,0.7087734461288563
344,GenMetS + covariates,49,GenMetS,0.22383198179678424
345,GenMetS + covariates,49,SocialEconomicalStatus,0.12351781709124597
346,GenMetS + covariates,49,PhysicalActivity,0.10745210687624948
347,GenMetS + covariates,49,TVhour,0.04496457356179104
348,GenMetS + covariates,49,Sleephour,0.023316973808129637
349,GenMetS + covariates,49,Education,0.010213295590709631
350,GenMetS + covariates,50,Age,0.6209828200311441
351,GenMetS + covariates,50,GenMetS,0.20552656963303548
352,GenMetS + covariates,50,PhysicalActivity,0.0637476185915835
353,GenMetS + covariates,50,SocialEconomicalStatus,0.054747668038594606
354,GenMetS + covariates,50,TVhour,0.02887656395736768
355,GenMetS + covariates,50,Sleephour,0.028453923478414255
356,GenMetS + covariates,50,Education,0.005958025804409301
357,GenMetS + covariates,51,Age,0.6390259695873836
358,GenMetS + covariates,51,GenMetS,0.19752374299090253
359,GenMetS + covariates,51,SocialEconomicalStatus,0.06606316121216387
360,GenMetS + covariates,51,PhysicalActivity,0.046353814485056495
361,GenMetS + covariates,51,Sleephour,0.022304231094550535
362,GenMetS + covariates,51,TVhour,0.008377811005142257
363,GenMetS + covariates,51,Education,0.0
364,GenMetS + covariates,52,Age,0.6270697188527246
365,GenMetS + covariates,52,GenMetS,0.20036585137204163
366,GenMetS + covariates,52,PhysicalActivity,0.07218291654566322
367,GenMetS + covariates,52,SocialEconomicalStatus,0.06606275403190028
368,GenMetS + covariates,52,TVhour,0.04171754329911318
369,GenMetS + covariates,52,Sleephour,0.014028002919602947
370,GenMetS + covariates,52,Education,0.013773303842991816
371,GenMetS + covariates,53,Age,0.5595167203181959
372,GenMetS + covariates,53,GenMetS,0.19769745684373072
373,GenMetS + covariates,53,PhysicalActivity,0.066229478760137
374,GenMetS + covariates,53,TVhour,0.03246074238582187
375,GenMetS + covariates,53,SocialEconomicalStatus,0.027190102334855713
376,GenMetS + covariates,53,Education,0.01250158884155917
377,GenMetS + covariates,53,Sleephour,0.0
378,GenMetS + covariates,54,Age,0.6209828200311441
379,GenMetS + covariates,54,GenMetS,0.20552656963303548
380,GenMetS + covariates,54,PhysicalActivity,0.0637476185915835
381,GenMetS + covariates,54,SocialEconomicalStatus,0.054747668038594606
382,GenMetS + covariates,54,TVhour,0.02887656395736768
383,GenMetS + covariates,54,Sleephour,0.028453923478414255
384,GenMetS + covariates,54,Education,0.005958025804409301
385,GenMetS + covariates,55,Age,0.6390259695873836
386,GenMetS + covariates,55,GenMetS,0.19752374299090253
387,GenMetS + covariates,55,SocialEconomicalStatus,0.06606316121216387
388,GenMetS + covariates,55,PhysicalActivity,0.046353814485056495
389,GenMetS + covariates,55,Sleephour,0.022304231094550535
390,GenMetS + covariates,55,TVhour,0.008377811005142257
391,GenMetS + covariates,55,Education,0.0
392,GenMetS + covariates,56,Age,0.23562166494248024
393,GenMetS + covariates,56,GenMetS,0.08202462908128128
394,GenMetS + covariates,56,TVhour,0.021332383335118745
395,GenMetS + covariates,56,PhysicalActivity,0.01851695855455572
396,GenMetS + covariates,56,Education,0.008180471102208637
397,GenMetS + covariates,56,SocialEconomicalStatus,0.008173048155624942
398,GenMetS + covariates,56,Sleephour,0.0036313128075316403
399,GenMetS + covariates,57,Age,0.7087734461288563
400,GenMetS + covariates,57,GenMetS,0.22383198179678424
401,GenMetS + covariates,57,SocialEconomicalStatus,0.12351781709124597
402,GenMetS + covariates,57,PhysicalActivity,0.10745210687624948
403,GenMetS + covariates,57,TVhour,0.04496457356179104
404,GenMetS + covariates,57,Sleephour,0.023316973808129637
405,GenMetS + covariates,57,Education,0.010213295590709631
406,GenMetS + covariates,58,Age,0.4447794429571519
407,GenMetS + covariates,58,GenMetS,0.12326712196442267
408,GenMetS + covariates,58,PhysicalActivity,0.03986849996759163
409,GenMetS + covariates,58,SocialEconomicalStatus,0.039284719029667146
410,GenMetS + covariates,58,Sleephour,0.015132335857853054
411,GenMetS + covariates,58,Education,0.013145155383531792
412,GenMetS + covariates,58,TVhour,0.011285136343081637
413,GenMetS + covariates,59,Age,0.6390259695873836
414,GenMetS + covariates,59,GenMetS,0.19752374299090253
415,GenMetS + covariates,59,SocialEconomicalStatus,0.06606316121216387
416,GenMetS + covariates,59,PhysicalActivity,0.046353814485056495
417,GenMetS + covariates,59,Sleephour,0.022304231094550535
418,GenMetS + covariates,59,TVhour,0.008377811005142257
419,GenMetS + covariates,59,Education,0.0
420,GenMetS + covariates,60,Age,0.23627296363055394
421,GenMetS + covariates,60,GenMetS,0.08345987047941074
422,GenMetS + covariates,60,PhysicalActivity,0.02785249158155712
423,GenMetS + covariates,60,TVhour,0.022237349715285522
424,GenMetS + covariates,60,SocialEconomicalStatus,0.014983692054872893
425,GenMetS + covariates,60,Education,0.01298288152547607
426,GenMetS + covariates,60,Sleephour,0.0045068821340674735
427,GenMetS + covariates,61,Age,0.4409227099929518
428,GenMetS + covariates,61,GenMetS,0.12059530637264294
429,GenMetS + covariates,61,PhysicalActivity,0.031394407431115226
430,GenMetS + covariates,61,SocialEconomicalStatus,0.029639422770136228
431,GenMetS + covariates,61,Sleephour,0.015300953778885892
432,GenMetS + covariates,61,Education,0.007666046273503962
433,GenMetS + covariates,61,TVhour,0.005369094267576078
434,GenMetS + covariates,62,Age,0.7087734461288563
435,GenMetS + covariates,62,GenMetS,0.22383198179678424
436,GenMetS + covariates,62,SocialEconomicalStatus,0.12351781709124597
437,GenMetS + covariates,62,PhysicalActivity,0.10745210687624948
438,GenMetS + covariates,62,TVhour,0.04496457356179104
439,GenMetS + covariates,62,Sleephour,0.023316973808129637
440,GenMetS + covariates,62,Education,0.010213295590709631
441,GenMetS + covariates,63,Age,0.7087734461288563
442,GenMetS + covariates,63,GenMetS,0.22383198179678424
443,GenMetS + covariates,63,SocialEconomicalStatus,0.12351781709124597
444,GenMetS + covariates,63,PhysicalActivity,0.10745210687624948
445,GenMetS + covariates,63,TVhour,0.04496457356179104
446,GenMetS + covariates,63,Sleephour,0.023316973808129637
447,GenMetS + covariates,63,Education,0.010213295590709631
448,GenMetS + covariates,64,Age,0.4408222438191356
449,GenMetS + covariates,64,GenMetS,0.12085308790595509
450,GenMetS + covariates,64,PhysicalActivity,0.03027505306466659
451,GenMetS + covariates,64,SocialEconomicalStatus,0.029394893991128834
452,GenMetS + covariates,64,Sleephour,0.014057190690708555
453,GenMetS + covariates,64,Education,0.007663210591870695
454,GenMetS + covariates,64,TVhour,0.0053656569187870455
455,GenMetS + covariates,65,Age,0.6270697188527246
456,GenMetS + covariates,65,GenMetS,0.20036585137204163
457,GenMetS + covariates,65,PhysicalActivity,0.07218291654566322
458,GenMetS + covariates,65,SocialEconomicalStatus,0.06606275403190028
459,GenMetS + covariates,65,TVhour,0.04171754329911318
460,GenMetS + covariates,65,Sleephour,0.014028002919602947
461,GenMetS + covariates,65,Education,0.013773303842991816
462,GenMetS + covariates,66,Age,0.6209828200311441
463,GenMetS + covariates,66,GenMetS,0.20552656963303548
464,GenMetS + covariates,66,PhysicalActivity,0.0637476185915835
465,GenMetS + covariates,66,SocialEconomicalStatus,0.054747668038594606
466,GenMetS + covariates,66,TVhour,0.02887656395736768
467,GenMetS + covariates,66,Sleephour,0.028453923478414255
468,GenMetS + covariates,66,Education,0.005958025804409301
469,GenMetS + covariates,67,Age,0.44101448344805755
470,GenMetS + covariates,67,GenMetS,0.1320254613226197
471,GenMetS + covariates,67,PhysicalActivity,0.027163279888541524
472,GenMetS + covariates,67,SocialEconomicalStatus,0.019757598316428916
473,GenMetS + covariates,67,Sleephour,0.019377414971412984
474,GenMetS + covariates,67,TVhour,0.0
475,GenMetS + covariates,67,Education,0.0
476,GenMetS + covariates,68,Age,0.4409227099929518
477,GenMetS + covariates,68,GenMetS,0.12059530637264294
478,GenMetS + covariates,68,PhysicalActivity,0.031394407431115226
479,GenMetS + covariates,68,SocialEconomicalStatus,0.029639422770136228
480,GenMetS + covariates,68,Sleephour,0.015300953778885892
481,GenMetS + covariates,68,Education,0.007666046273503962
