disease	predictor	samples	test	case	control	OddsRatio	low	high	p.value	cohort
Stroke	PGS000685_HbA1c#	matched	case-control	114	114	1.05	0.823	1.34	0.695	UKB ASN women
Stroke	PGS001133_DBP#	matched	case-control	114	114	1.417	1.103	1.846	0.00771	UKB ASN women
Stroke	PGS000302_DBP#	matched	case-control	114	114	1.666	1.258	2.245	0.000519	UKB ASN women
Stroke	PGS000301_SBP#	matched	case-control	114	114	1.796	1.349	2.44	0.000101	UKB ASN women
Stroke	PGS001134_SBP#	matched	case-control	114	114	1.59	1.198	2.138	0.00164	UKB ASN women
Myocardial infarction	GenMetS	matched	case-control	313	313	1.624	1.339	1.99	1.52e-06	UKB ASN women
Myocardial infarction	PGS000828_WC#	matched	case-control	313	313	1.07	0.915	1.253	0.395	UKB ASN women
Myocardial infarction	PGS001227_WC#	matched	case-control	313	313	1.069	0.916	1.249	0.398	UKB ASN women
Myocardial infarction	PGS000661_LDL	matched	case-control	313	313	1.133	0.965	1.333	0.128	UKB ASN women
Myocardial infarction	PGS000891_LDL	matched	case-control	313	313	1.135	0.965	1.337	0.127	UKB ASN women
Myocardial infarction	PGS000660_HDL	matched	case-control	313	313	1.145	0.971	1.353	0.109	UKB ASN women
Myocardial infarction	PGS000686_HDL#	matched	case-control	313	313	0.985	0.841	1.154	0.853	UKB ASN women
Myocardial infarction	PGS000659_TG	matched	case-control	313	313	1.044	0.891	1.224	0.593	UKB ASN women
Myocardial infarction	PGS000699_TG#	matched	case-control	313	313	1.091	0.933	1.277	0.276	UKB ASN women
Myocardial infarction	PGS000306_GLU#	matched	case-control	313	313	1.167	0.991	1.378	0.0661	UKB ASN women
Myocardial infarction	PGS000684_GLU#	matched	case-control	313	313	0.896	0.767	1.045	0.161	UKB ASN women
Myocardial infarction	PGS000685_HbA1c#	matched	case-control	313	313	0.98	0.837	1.146	0.796	UKB ASN women
Myocardial infarction	PGS001133_DBP#	matched	case-control	313	313	1.206	1.031	1.415	0.0203	UKB ASN women
Myocardial infarction	PGS000302_DBP#	matched	case-control	313	313	1.126	0.96	1.323	0.145	UKB ASN women
Myocardial infarction	PGS000301_SBP#	matched	case-control	313	313	1.284	1.096	1.509	0.0022	UKB ASN women
Myocardial infarction	PGS001134_SBP#	matched	case-control	313	313	1.358	1.159	1.597	0.000176	UKB ASN women
Type 2 diabetes	GenMetS	matched	case-control	1014	1014	1.432	1.299	1.583	1e-12	UKB ASN men
Type 2 diabetes	PGS000828_WC#	matched	case-control	1014	1014	1.094	1	1.197	0.0497	UKB ASN men
Type 2 diabetes	PGS001227_WC#	matched	case-control	1014	1014	1.159	1.062	1.264	0.000905	UKB ASN men
Type 2 diabetes	PGS000661_LDL	matched	case-control	1014	1014	0.989	0.907	1.079	0.809	UKB ASN men
Type 2 diabetes	PGS000891_LDL	matched	case-control	1014	1014	0.998	0.915	1.089	0.972	UKB ASN men
Type 2 diabetes	PGS000660_HDL	matched	case-control	1014	1014	1.176	1.079	1.283	0.000236	UKB ASN men
Type 2 diabetes	PGS000686_HDL#	matched	case-control	1014	1014	0.957	0.877	1.043	0.313	UKB ASN men
Type 2 diabetes	PGS000659_TG	matched	case-control	1014	1014	0.942	0.862	1.029	0.185	UKB ASN men
Type 2 diabetes	PGS000699_TG#	matched	case-control	1014	1014	1.009	0.923	1.102	0.851	UKB ASN men
Type 2 diabetes	PGS000306_GLU#	matched	case-control	1014	1014	1.119	1.024	1.223	0.013	UKB ASN men
Type 2 diabetes	PGS000684_GLU#	matched	case-control	1014	1014	1.148	1.052	1.254	0.00212	UKB ASN men
Type 2 diabetes	PGS000685_HbA1c#	matched	case-control	1014	1014	1.207	1.105	1.319	3.03e-05	UKB ASN men
Type 2 diabetes	PGS001133_DBP#	matched	case-control	1014	1014	1.028	0.943	1.122	0.528	UKB ASN men
Type 2 diabetes	PGS000302_DBP#	matched	case-control	1014	1014	0.986	0.902	1.078	0.758	UKB ASN men
Type 2 diabetes	PGS000301_SBP#	matched	case-control	1014	1014	1.077	0.985	1.177	0.103	UKB ASN men
Type 2 diabetes	PGS001134_SBP#	matched	case-control	1014	1014	1.034	0.948	1.129	0.445	UKB ASN men
Hypertension	GenMetS	matched	case-control	1900	1900	1.35	1.263	1.446	2.5e-18	UKB ASN men
Hypertension	PGS000828_WC#	matched	case-control	1900	1900	1.058	0.993	1.127	0.083	UKB ASN men
Hypertension	PGS001227_WC#	matched	case-control	1900	1900	1.089	1.022	1.161	0.00863	UKB ASN men
Hypertension	PGS000661_LDL	matched	case-control	1900	1900	1.006	0.944	1.072	0.846	UKB ASN men
Hypertension	PGS000891_LDL	matched	case-control	1900	1900	1.005	0.943	1.071	0.887	UKB ASN men
Hypertension	PGS000660_HDL	matched	case-control	1900	1900	1.159	1.087	1.236	6.25e-06	UKB ASN men
Hypertension	PGS000686_HDL#	matched	case-control	1900	1900	0.943	0.884	1.004	0.0683	UKB ASN men
Hypertension	PGS000659_TG	matched	case-control	1900	1900	0.953	0.894	1.016	0.139	UKB ASN men
Hypertension	PGS000699_TG#	matched	case-control	1900	1900	1.012	0.949	1.079	0.711	UKB ASN men
Hypertension	PGS000306_GLU#	matched	case-control	1900	1900	1.064	0.998	1.134	0.0576	UKB ASN men
Hypertension	PGS000684_GLU#	matched	case-control	1900	1900	1.062	0.997	1.132	0.0617	UKB ASN men
Hypertension	PGS000685_HbA1c#	matched	case-control	1900	1900	1.05	0.985	1.119	0.134	UKB ASN men
Hypertension	PGS001133_DBP#	matched	case-control	1900	1900	1.158	1.086	1.235	8.07e-06	UKB ASN men
Hypertension	PGS000302_DBP#	matched	case-control	1900	1900	1.148	1.077	1.224	2.45e-05	UKB ASN men
Hypertension	PGS000301_SBP#	matched	case-control	1900	1900	1.226	1.149	1.308	6.45e-10	UKB ASN men
Hypertension	PGS001134_SBP#	matched	case-control	1900	1900	1.189	1.115	1.267	1.16e-07	UKB ASN men
Heart failure	GenMetS	matched	case-control	295	295	1.878	1.49	2.445	5.11e-07	UKB ASN men
Heart failure	PGS000828_WC#	matched	case-control	295	295	1	0.85	1.176	1	UKB ASN men
Heart failure	PGS001227_WC#	matched	case-control	295	295	0.964	0.818	1.135	0.656	UKB ASN men
Heart failure	PGS000661_LDL	matched	case-control	295	295	1.099	0.922	1.311	0.294	UKB ASN men
Heart failure	PGS000891_LDL	matched	case-control	295	295	1.11	0.939	1.314	0.224	UKB ASN men
Heart failure	PGS000660_HDL	matched	case-control	295	295	1.143	0.966	1.356	0.121	UKB ASN men
Heart failure	PGS000686_HDL#	matched	case-control	295	295	0.909	0.778	1.062	0.232	UKB ASN men
Heart failure	PGS000659_TG	matched	case-control	295	295	0.943	0.797	1.113	0.487	UKB ASN men
Heart failure	PGS000699_TG#	matched	case-control	295	295	1.019	0.864	1.202	0.821	UKB ASN men
Heart failure	PGS000306_GLU#	matched	case-control	295	295	1.088	0.926	1.279	0.306	UKB ASN men
Heart failure	PGS000684_GLU#	matched	case-control	295	295	1.14	0.973	1.337	0.107	UKB ASN men
Heart failure	PGS000685_HbA1c#	matched	case-control	295	295	1.092	0.93	1.283	0.285	UKB ASN men
Heart failure	PGS001133_DBP#	matched	case-control	295	295	1.112	0.947	1.308	0.196	UKB ASN men
Heart failure	PGS000302_DBP#	matched	case-control	295	295	1.314	1.112	1.558	0.00147	UKB ASN men
Heart failure	PGS000301_SBP#	matched	case-control	295	295	1.446	1.226	1.715	1.57e-05	UKB ASN men
Heart failure	PGS001134_SBP#	matched	case-control	295	295	1.227	1.046	1.442	0.0126	UKB ASN men
Coronary artery disease	GenMetS	matched	case-control	1070	1070	1.682	1.507	1.89	2.13e-19	UKB ASN men
Coronary artery disease	PGS000828_WC#	matched	case-control	1070	1070	1.071	0.983	1.167	0.116	UKB ASN men
Coronary artery disease	PGS001227_WC#	matched	case-control	1070	1070	1.127	1.035	1.229	0.00632	UKB ASN men
Coronary artery disease	PGS000661_LDL	matched	case-control	1070	1070	1.089	0.998	1.188	0.0559	UKB ASN men
Coronary artery disease	PGS000891_LDL	matched	case-control	1070	1070	1.11	1.018	1.212	0.0187	UKB ASN men
Coronary artery disease	PGS000660_HDL	matched	case-control	1070	1070	1.203	1.102	1.314	3.59e-05	UKB ASN men
Coronary artery disease	PGS000686_HDL#	matched	case-control	1070	1070	0.946	0.871	1.028	0.191	UKB ASN men
Coronary artery disease	PGS000659_TG	matched	case-control	1070	1070	0.887	0.815	0.966	0.00586	UKB ASN men
Coronary artery disease	PGS000699_TG#	matched	case-control	1070	1070	0.96	0.881	1.046	0.35	UKB ASN men
Coronary artery disease	PGS000306_GLU#	matched	case-control	1070	1070	1.157	1.061	1.261	0.000943	UKB ASN men
Coronary artery disease	PGS000684_GLU#	matched	case-control	1070	1070	1.084	0.995	1.181	0.0665	UKB ASN men
Coronary artery disease	PGS000685_HbA1c#	matched	case-control	1070	1070	1.074	0.987	1.17	0.0968	UKB ASN men
Coronary artery disease	PGS001133_DBP#	matched	case-control	1070	1070	1.016	0.934	1.106	0.708	UKB ASN men
Coronary artery disease	PGS000302_DBP#	matched	case-control	1070	1070	1.097	1.006	1.197	0.0356	UKB ASN men
Coronary artery disease	PGS000301_SBP#	matched	case-control	1070	1070	1.215	1.116	1.325	8.61e-06	UKB ASN men
Coronary artery disease	PGS001134_SBP#	matched	case-control	1070	1070	1.12	1.029	1.219	0.0086	UKB ASN men
Stroke	GenMetS	matched	case-control	198	198	1.393	1.111	1.777	0.00532	UKB ASN men
Stroke	PGS000828_WC#	matched	case-control	198	198	0.879	0.713	1.081	0.223	UKB ASN men
Stroke	PGS001227_WC#	matched	case-control	198	198	1.106	0.906	1.354	0.324	UKB ASN men
Stroke	PGS000661_LDL	matched	case-control	198	198	1.257	1.021	1.556	0.033	UKB ASN men
Stroke	PGS000891_LDL	matched	case-control	198	198	1.229	1.003	1.512	0.0488	UKB ASN men
Stroke	PGS000660_HDL	matched	case-control	198	198	1.075	0.885	1.308	0.467	UKB ASN men
Stroke	PGS000686_HDL#	matched	case-control	198	198	0.942	0.776	1.143	0.546	UKB ASN men
Stroke	PGS000659_TG	matched	case-control	198	198	0.832	0.677	1.018	0.0752	UKB ASN men
Stroke	PGS000699_TG#	matched	case-control	198	198	0.917	0.747	1.123	0.402	UKB ASN men
Stroke	PGS000306_GLU#	matched	case-control	198	198	1.106	0.909	1.349	0.316	UKB ASN men
Stroke	PGS000684_GLU#	matched	case-control	198	198	1.047	0.851	1.288	0.666	UKB ASN men
Stroke	PGS000685_HbA1c#	matched	case-control	198	198	1.009	0.829	1.229	0.926	UKB ASN men
Stroke	PGS001133_DBP#	matched	case-control	198	198	1.193	0.982	1.454	0.0773	UKB ASN men
Stroke	PGS000302_DBP#	matched	case-control	198	198	1.152	0.959	1.388	0.132	UKB ASN men
Stroke	PGS000301_SBP#	matched	case-control	198	198	1.253	1.037	1.521	0.0204	UKB ASN men
Stroke	PGS001134_SBP#	matched	case-control	198	198	1.269	1.039	1.556	0.0205	UKB ASN men
Myocardial infarction	GenMetS	matched	case-control	807	807	1.694	1.487	1.948	1.68e-14	UKB ASN men
Myocardial infarction	PGS000828_WC#	matched	case-control	807	807	1.041	0.943	1.151	0.423	UKB ASN men
Myocardial infarction	PGS001227_WC#	matched	case-control	807	807	1.075	0.974	1.187	0.15	UKB ASN men
Myocardial infarction	PGS000661_LDL	matched	case-control	807	807	1.094	0.99	1.21	0.0773	UKB ASN men
Myocardial infarction	PGS000891_LDL	matched	case-control	807	807	1.12	1.013	1.239	0.0271	UKB ASN men
Myocardial infarction	PGS000660_HDL	matched	case-control	807	807	1.162	1.052	1.286	0.00333	UKB ASN men
Myocardial infarction	PGS000686_HDL#	matched	case-control	807	807	0.901	0.819	0.992	0.0336	UKB ASN men
Myocardial infarction	PGS000659_TG	matched	case-control	807	807	0.879	0.798	0.968	0.00917	UKB ASN men
Myocardial infarction	PGS000699_TG#	matched	case-control	807	807	0.949	0.859	1.048	0.304	UKB ASN men
Myocardial infarction	PGS000306_GLU#	matched	case-control	807	807	1.127	1.022	1.243	0.0166	UKB ASN men
Myocardial infarction	PGS000684_GLU#	matched	case-control	807	807	1.122	1.016	1.239	0.0231	UKB ASN men
Myocardial infarction	PGS000685_HbA1c#	matched	case-control	807	807	1.141	1.034	1.26	0.00889	UKB ASN men
Myocardial infarction	PGS001133_DBP#	matched	case-control	807	807	1.027	0.932	1.131	0.591	UKB ASN men
Myocardial infarction	PGS000302_DBP#	matched	case-control	807	807	1.158	1.049	1.278	0.00358	UKB ASN men
Myocardial infarction	PGS000301_SBP#	matched	case-control	807	807	1.262	1.144	1.393	3.55e-06	UKB ASN men
Myocardial infarction	PGS001134_SBP#	matched	case-control	807	807	1.122	1.017	1.237	0.0213	UKB ASN men
Type 2 diabetes	GenMetS	matched	case-control	192	192	2.028	1.62	2.587	2.89e-09	ATTRaCT women
Type 2 diabetes	PGS000828_WC#	matched	case-control	192	192	1.245	1.02	1.527	0.0329	ATTRaCT women
Type 2 diabetes	PGS001227_WC#	matched	case-control	192	192	1.343	1.091	1.662	0.00599	ATTRaCT women
Type 2 diabetes	PGS000661_LDL	matched	case-control	192	192	0.966	0.791	1.178	0.73	ATTRaCT women
Type 2 diabetes	PGS000891_LDL	matched	case-control	192	192	1.026	0.847	1.243	0.794	ATTRaCT women
Type 2 diabetes	PGS000660_HDL	matched	case-control	192	192	1.247	1.017	1.535	0.0356	ATTRaCT women
Type 2 diabetes	PGS000686_HDL#	matched	case-control	192	192	0.915	0.747	1.119	0.387	ATTRaCT women
Type 2 diabetes	PGS000659_TG	matched	case-control	192	192	0.917	0.748	1.123	0.404	ATTRaCT women
Type 2 diabetes	PGS000699_TG#	matched	case-control	192	192	0.943	0.77	1.153	0.568	ATTRaCT women
Type 2 diabetes	PGS000306_GLU#	matched	case-control	192	192	1.135	0.926	1.393	0.225	ATTRaCT women
Type 2 diabetes	PGS000684_GLU#	matched	case-control	192	192	1.216	0.988	1.502	0.0662	ATTRaCT women
Type 2 diabetes	PGS000685_HbA1c#	matched	case-control	192	192	1.071	0.873	1.317	0.51	ATTRaCT women
Type 2 diabetes	PGS001133_DBP#	matched	case-control	192	192	0.852	0.694	1.042	0.121	ATTRaCT women
Type 2 diabetes	PGS000302_DBP#	matched	case-control	192	192	0.828	0.669	1.02	0.0777	ATTRaCT women
Type 2 diabetes	PGS000301_SBP#	matched	case-control	192	192	1.038	0.847	1.274	0.718	ATTRaCT women
Type 2 diabetes	PGS001134_SBP#	matched	case-control	192	192	1.124	0.917	1.381	0.261	ATTRaCT women
Stroke	GenMetS	matched	case-control	32	32	0.986	0.654	1.483	0.945	ATTRaCT women
Stroke	PGS000828_WC#	matched	case-control	32	32	1.083	0.69	1.717	0.728	ATTRaCT women
Stroke	PGS001227_WC#	matched	case-control	32	32	0.909	0.483	1.688	0.76	ATTRaCT women
Stroke	PGS000661_LDL	matched	case-control	32	32	0.841	0.501	1.382	0.496	ATTRaCT women
Stroke	PGS000891_LDL	matched	case-control	32	32	0.687	0.384	1.147	0.169	ATTRaCT women
Stroke	PGS000660_HDL	matched	case-control	32	32	0.91	0.584	1.401	0.668	ATTRaCT women
Stroke	PGS000686_HDL#	matched	case-control	32	32	1.092	0.684	1.773	0.71	ATTRaCT women
Stroke	PGS000659_TG	matched	case-control	32	32	1.119	0.648	1.961	0.686	ATTRaCT women
Stroke	PGS000699_TG#	matched	case-control	32	32	0.916	0.542	1.533	0.737	ATTRaCT women
Stroke	PGS000306_GLU#	matched	case-control	32	32	1.123	0.683	1.868	0.647	ATTRaCT women
Stroke	PGS000684_GLU#	matched	case-control	32	32	0.695	0.392	1.187	0.193	ATTRaCT women
Stroke	PGS000685_HbA1c#	matched	case-control	32	32	1.45	0.833	2.616	0.198	ATTRaCT women
Stroke	PGS001133_DBP#	matched	case-control	32	32	1.468	0.903	2.474	0.131	ATTRaCT women
Stroke	PGS000302_DBP#	matched	case-control	32	32	1.076	0.636	1.839	0.784	ATTRaCT women
Stroke	PGS000301_SBP#	matched	case-control	32	32	0.906	0.525	1.545	0.716	ATTRaCT women
Stroke	PGS001134_SBP#	matched	case-control	32	32	1.323	0.839	2.15	0.237	ATTRaCT women
Heart failure	GenMetS	matched	case-control	295	295	1.465	1.242	1.739	8.58e-06	ATTRaCT women
Heart failure	PGS000828_WC#	matched	case-control	295	295	1.213	1.036	1.424	0.017	ATTRaCT women
Heart failure	PGS001227_WC#	matched	case-control	295	295	1.366	1.156	1.621	0.000291	ATTRaCT women
Heart failure	PGS000661_LDL	matched	case-control	295	295	0.847	0.72	0.994	0.0437	ATTRaCT women
Heart failure	PGS000891_LDL	matched	case-control	295	295	0.933	0.796	1.094	0.395	ATTRaCT women
Heart failure	PGS000660_HDL	matched	case-control	295	295	1.125	0.956	1.325	0.157	ATTRaCT women
Heart failure	PGS000686_HDL#	matched	case-control	295	295	0.841	0.717	0.984	0.0317	ATTRaCT women
Heart failure	PGS000659_TG	matched	case-control	295	295	0.876	0.743	1.03	0.111	ATTRaCT women
Heart failure	PGS000699_TG#	matched	case-control	295	295	0.907	0.769	1.069	0.246	ATTRaCT women
Heart failure	PGS000306_GLU#	matched	case-control	295	295	1.003	0.855	1.178	0.966	ATTRaCT women
Heart failure	PGS000684_GLU#	matched	case-control	295	295	0.971	0.824	1.144	0.722	ATTRaCT women
Heart failure	PGS000685_HbA1c#	matched	case-control	295	295	0.948	0.803	1.117	0.521	ATTRaCT women
Heart failure	PGS001133_DBP#	matched	case-control	295	295	1.153	0.978	1.361	0.0904	ATTRaCT women
Heart failure	PGS000302_DBP#	matched	case-control	295	295	1.113	0.946	1.311	0.198	ATTRaCT women
Heart failure	PGS000301_SBP#	matched	case-control	295	295	1.223	1.037	1.447	0.0174	ATTRaCT women
Heart failure	PGS001134_SBP#	matched	case-control	295	295	1.276	1.082	1.509	0.0041	ATTRaCT women
Coronary artery disease	GenMetS	matched	case-control	107	107	0.973	0.764	1.239	0.827	ATTRaCT women
Coronary artery disease	PGS000828_WC#	matched	case-control	107	107	0.987	0.763	1.275	0.917	ATTRaCT women
Coronary artery disease	PGS001227_WC#	matched	case-control	107	107	1.168	0.882	1.555	0.282	ATTRaCT women
Coronary artery disease	PGS000661_LDL	matched	case-control	107	107	0.969	0.747	1.257	0.815	ATTRaCT women
Coronary artery disease	PGS000891_LDL	matched	case-control	107	107	0.93	0.71	1.215	0.596	ATTRaCT women
Coronary artery disease	PGS000660_HDL	matched	case-control	107	107	0.973	0.756	1.251	0.83	ATTRaCT women
Coronary artery disease	PGS000686_HDL#	matched	case-control	107	107	0.863	0.659	1.122	0.274	ATTRaCT women
Coronary artery disease	PGS000659_TG	matched	case-control	107	107	0.785	0.592	1.032	0.087	ATTRaCT women
Coronary artery disease	PGS000699_TG#	matched	case-control	107	107	1.022	0.787	1.33	0.868	ATTRaCT women
Coronary artery disease	PGS000306_GLU#	matched	case-control	107	107	0.866	0.644	1.159	0.336	ATTRaCT women
Coronary artery disease	PGS000684_GLU#	matched	case-control	107	107	1.025	0.767	1.371	0.866	ATTRaCT women
Coronary artery disease	PGS000685_HbA1c#	matched	case-control	107	107	1.06	0.818	1.377	0.66	ATTRaCT women
Coronary artery disease	PGS001133_DBP#	matched	case-control	107	107	0.952	0.725	1.248	0.719	ATTRaCT women
Coronary artery disease	PGS000302_DBP#	matched	case-control	107	107	0.701	0.526	0.921	0.0124	ATTRaCT women
Coronary artery disease	PGS000301_SBP#	matched	case-control	107	107	0.72	0.547	0.938	0.0166	ATTRaCT women
Coronary artery disease	PGS001134_SBP#	matched	case-control	107	107	1.052	0.817	1.356	0.695	ATTRaCT women
Myocardial infarction	GenMetS	matched	case-control	46	46	1.081	0.761	1.545	0.663	ATTRaCT women
