target	name	N	sex	predictor	R2	95%CI	low	high	p.value	cohort
HbA1c	HbA1c	356703	all	GenMetS	6.68e-06	(2.63e-08,3.27e-05)	2.63e-08	3.27e-05	 1.23e-01	UKBB European
HbA1c	HbA1c	165227	men	GenMetS	2.07e-05	(1.5e-07,8.99e-05)	1.5e-07	8.99e-05	 6.47e-02	UKBB European
HbA1c	HbA1c	191476	women	GenMetS	2.12e-07	(7.49e-09,2.93e-05)	7.49e-09	2.93e-05	 8.40e-01	UKBB European
DBP	DBP	356703	all	GenMetS	7.47e-08	(2.11e-09,1.46e-05)	2.11e-09	1.46e-05	 8.70e-01	UKBB European
DBP	DBP	165227	men	GenMetS	3.18e-07	(5.47e-09,3.01e-05)	5.47e-09	3.01e-05	 8.19e-01	UKBB European
DBP	DBP	191476	women	GenMetS	7.53e-09	(8.26e-09,2.52e-05)	8.26e-09	2.52e-05	 9.70e-01	UKBB European
MetS	ObsMetS	8792	all	GenMetS	0.0517	(0.0421,0.0621)	0.0421	0.0621	2.00e-103	UKBB Asian
MetS	ObsMetS	4603	men	GenMetS	0.0288	(0.0185,0.0411)	0.0185	0.0411	 4.65e-31	UKBB Asian
MetS	ObsMetS	4189	women	GenMetS	0.0568	(0.042,0.0724)	0.042	0.0724	 3.45e-55	UKBB Asian
WC	WC	8792	all	GenMetS	0.111	( 0.1,0.123)	0.1	0.123	1.31e-227	UKBB Asian
WC	WC	4603	men	GenMetS	0.0601	(0.0486,0.0736)	0.0486	0.0736	 6.14e-64	UKBB Asian
WC	WC	4189	women	GenMetS	0.126	(0.109,0.143)	0.109	0.143	1.40e-124	UKBB Asian
BMI	BMI	8684	all	GenMetS	0.0635	(0.0554,0.073)	0.0554	0.073	7.30e-126	UKBB Asian
BMI	BMI	4501	men	GenMetS	0.0211	(0.0144,0.0295)	0.0144	0.0295	 1.18e-22	UKBB Asian
BMI	BMI	4183	women	GenMetS	0.106	(0.0899,0.12)	0.0899	0.12	2.23e-103	UKBB Asian
HDL	HDL	8792	all	GenMetS	0.0438	(0.036,0.0533)	0.036	0.0533	 1.09e-87	UKBB Asian
HDL	HDL	4603	men	GenMetS	0.00971	(0.00496,0.0164)	0.00496	0.0164	 2.10e-11	UKBB Asian
HDL	HDL	4189	women	GenMetS	0.0481	(0.0347,0.0629)	0.0347	0.0629	 8.20e-47	UKBB Asian
HbA1c	HbA1c	8792	all	GenMetS	0.0146	(0.0114,0.0182)	0.0114	0.0182	 7.39e-30	UKBB Asian
HbA1c	HbA1c	4603	men	GenMetS	0.00995	(0.00628,0.0143)	0.00628	0.0143	 1.17e-11	UKBB Asian
HbA1c	HbA1c	4189	women	GenMetS	0.0163	(0.0113,0.0214)	0.0113	0.0214	 1.21e-16	UKBB Asian
TG	TG	8792	all	GenMetS	0.00384	(0.00181,0.00658)	0.00181	0.00658	 6.04e-09	UKBB Asian
TG	TG	4603	men	GenMetS	0.000211	(6.53e-07,0.00173)	6.53e-07	0.00173	 3.24e-01	UKBB Asian
TG	TG	4189	women	GenMetS	0.00455	(0.00131,0.0095)	0.00131	0.0095	 1.26e-05	UKBB Asian
SBP	SBP	8792	all	GenMetS	0.00253	(0.000896,0.00509)	0.000896	0.00509	 2.43e-06	UKBB Asian
SBP	SBP	4603	men	GenMetS	0.000462	(2.45e-06,0.00229)	2.45e-06	0.00229	 1.45e-01	UKBB Asian
SBP	SBP	4189	women	GenMetS	0.0029	(0.000539,0.00699)	0.000539	0.00699	 4.91e-04	UKBB Asian
DBP	DBP	8792	all	GenMetS	4.69e-05	(1.44e-07,0.000831)	1.44e-07	0.000831	 5.21e-01	UKBB Asian
DBP	DBP	4603	men	GenMetS	0.00096	(1.26e-05,0.00374)	1.26e-05	0.00374	 3.56e-02	UKBB Asian
DBP	DBP	4189	women	GenMetS	0.00026	(4.17e-07,0.00211)	4.17e-07	0.00211	 2.97e-01	UKBB Asian
MetS	ObsMetS	2310	all	GenMetS	0.0609	(0.03,0.0995)	0.03	0.0995	 2.26e-08	ATTRaCT
MetS	ObsMetS	1490	men	GenMetS	0.0332	(0.00727,0.0691)	0.00727	0.0691	 3.55e-03	ATTRaCT
MetS	ObsMetS	820	women	GenMetS	0.124	(0.0599,0.201)	0.0599	0.201	 1.30e-08	ATTRaCT
BMI	BMI	2276	all	GenMetS	0.0365	(0.0238,0.0533)	0.0238	0.0533	 3.84e-20	ATTRaCT
BMI	BMI	1465	men	GenMetS	0.0103	(0.00271,0.0234)	0.00271	0.0234	 1.01e-04	ATTRaCT
BMI	BMI	811	women	GenMetS	0.125	(0.0845,0.178)	0.0845	0.178	 3.25e-25	ATTRaCT
HDL	HDL	915	all	GenMetS	0.0266	(0.0136,0.0639)	0.0136	0.0639	 7.12e-07	ATTRaCT
HDL	HDL	437	men	GenMetS	0.0225	(0.0108,0.0905)	0.0108	0.0905	 1.65e-03	ATTRaCT
HDL	HDL	478	women	GenMetS	0.0507	(0.0204,0.0984)	0.0204	0.0984	 6.61e-07	ATTRaCT
Fasting Glucose	FastingGlu	1217	all	GenMetS	0.0412	(0.0198,0.072)	0.0198	0.072	 8.62e-13	ATTRaCT
Fasting Glucose	FastingGlu	803	men	GenMetS	0.049	(0.0198,0.0919)	0.0198	0.0919	 2.31e-10	ATTRaCT
Fasting Glucose	FastingGlu	414	women	GenMetS	0.0353	(0.00834,0.0894)	0.00834	0.0894	 1.21e-04	ATTRaCT
TG	TG	912	all	GenMetS	0.018	(0.00372,0.0439)	0.00372	0.0439	 4.90e-05	ATTRaCT
TG	TG	435	men	GenMetS	0.028	(0.00295,0.0746)	0.00295	0.0746	 4.62e-04	ATTRaCT
TG	TG	477	women	GenMetS	0.0118	(0.000254,0.041)	0.000254	0.041	 1.76e-02	ATTRaCT
LDL	LDL	913	all	GenMetS	0.00282	(7.76e-06,0.0155)	7.76e-06	0.0155	 1.09e-01	ATTRaCT
LDL	LDL	435	men	GenMetS	9.55e-06	(3.15e-06,0.0171)	3.15e-06	0.0171	 9.49e-01	ATTRaCT
LDL	LDL	478	women	GenMetS	0.00971	(0.000146,0.0359)	0.000146	0.0359	 3.12e-02	ATTRaCT
SBP	SBP	2289	all	GenMetS	0.000131	(7.25e-07,0.00275)	7.25e-07	0.00275	 5.84e-01	ATTRaCT
SBP	SBP	1475	men	GenMetS	0.00366	(0.000136,0.013)	0.000136	0.013	 2.02e-02	ATTRaCT
SBP	SBP	814	women	GenMetS	0.00625	(7.64e-05,0.0219)	7.64e-05	0.0219	 2.41e-02	ATTRaCT
DBP	DBP	2289	all	GenMetS	0.000376	(1.91e-06,0.0039)	1.91e-06	0.0039	 3.54e-01	ATTRaCT
DBP	DBP	1475	men	GenMetS	1.18e-06	(6.8e-07,0.00398)	6.8e-07	0.00398	 9.67e-01	ATTRaCT
DBP	DBP	814	women	GenMetS	0.00316	(1.7e-05,0.0156)	1.7e-05	0.0156	 1.09e-01	ATTRaCT
Cholestrol	CHOLESTROL	1290	all	GenMetS	0.00041	(2.4e-05,0.00317)	2.4e-05	0.00317	 4.67e-01	ATTRaCT
Cholestrol	CHOLESTROL	857	men	GenMetS	0.000532	(7.66e-05,0.00884)	7.66e-05	0.00884	 5.00e-01	ATTRaCT
Cholestrol	CHOLESTROL	433	women	GenMetS	0.000732	(2.12e-06,0.00957)	2.12e-06	0.00957	 5.74e-01	ATTRaCT
MetS	ObsMetS	321	all	GenMetS	0.0655	(0.0183,0.134)	0.0183	0.134	 3.38e-06	GUSTO
MetS	ObsMetS	158	men	GenMetS	0.0378	(0.00123,0.121)	0.00123	0.121	 1.43e-02	GUSTO
MetS	ObsMetS	163	women	GenMetS	0.103	(0.021,0.217)	0.021	0.217	 3.07e-05	GUSTO
AC	Abdominal Circumference	321	all	GenMetS	0.081	(0.0249,0.155)	0.0249	0.155	 2.16e-07	GUSTO
AC	Abdominal Circumference	158	men	GenMetS	0.0713	(0.00831,0.175)	0.00831	0.175	 6.97e-04	GUSTO
AC	Abdominal Circumference	163	women	GenMetS	0.0871	(0.0164,0.196)	0.0164	0.196	 1.31e-04	GUSTO
HDL	HDL(mmol/L)	321	all	GenMetS	0.0322	(0.00508,0.0787)	0.00508	0.0787	 1.24e-03	GUSTO
HDL	HDL(mmol/L)	158	men	GenMetS	0.0187	(0.000119,0.0744)	0.000119	0.0744	 8.63e-02	GUSTO
HDL	HDL(mmol/L)	163	women	GenMetS	0.0666	(0.0131,0.147)	0.0131	0.147	 8.80e-04	GUSTO
Insulin	Insulin(mU/L)	321	all	GenMetS	0.0476	(0.0149,0.0969)	0.0149	0.0969	 8.17e-05	GUSTO
Insulin	Insulin(mU/L)	158	men	GenMetS	0.0441	(0.00805,0.115)	0.00805	0.115	 8.08e-03	GUSTO
Insulin	Insulin(mU/L)	163	women	GenMetS	0.0547	(0.0052,0.145)	0.0052	0.145	 2.65e-03	GUSTO
HOMA_IR	HOMA_IR	321	all	GenMetS	0.0456	(0.0134,0.0972)	0.0134	0.0972	 1.15e-04	GUSTO
HOMA_IR	HOMA_IR	158	men	GenMetS	0.0446	(0.00714,0.117)	0.00714	0.117	 7.72e-03	GUSTO
HOMA_IR	HOMA_IR	163	women	GenMetS	0.0473	(0.00251,0.133)	0.00251	0.133	 5.30e-03	GUSTO
TG	TG(mmol/L)	321	all	GenMetS	0.00896	(5.91e-05,0.0396)	5.91e-05	0.0396	 9.04e-02	GUSTO
TG	TG(mmol/L)	158	men	GenMetS	2.12e-06	(8.46e-06,0.0265)	8.46e-06	0.0265	 9.86e-01	GUSTO
TG	TG(mmol/L)	163	women	GenMetS	0.0407	(0.00166,0.119)	0.00166	0.119	 9.81e-03	GUSTO
BMI	BMI	321	all	GenMetS	0.0435	(0.00861,0.0993)	0.00861	0.0993	 1.68e-04	GUSTO
BMI	BMI	158	men	GenMetS	0.0432	(0.00267,0.119)	0.00267	0.119	 8.76e-03	GUSTO
BMI	BMI	163	women	GenMetS	0.0394	(0.00132,0.121)	0.00132	0.121	 1.11e-02	GUSTO
logHSCRP	logHSCRP(mg/L)	281	all	GenMetS	0.00944	(6.79e-05,0.0444)	6.79e-05	0.0444	 1.04e-01	GUSTO
logHSCRP	logHSCRP(mg/L)	129	men	GenMetS	0.00373	(1.87e-05,0.0481)	1.87e-05	0.0481	 4.92e-01	GUSTO
logHSCRP	logHSCRP(mg/L)	152	women	GenMetS	0.0194	(0.000164,0.0884)	0.000164	0.0884	 8.71e-02	GUSTO
LDL	LDL(mmol/L)	321	all	GenMetS	0.00128	(3.79e-06,0.0218)	3.79e-06	0.0218	 5.24e-01	GUSTO
LDL	LDL(mmol/L)	158	men	GenMetS	0.000107	(3.93e-06,0.0316)	3.93e-06	0.0316	 8.97e-01	GUSTO
LDL	LDL(mmol/L)	163	women	GenMetS	0.00161	(1.2e-05,0.0267)	1.2e-05	0.0267	 6.12e-01	GUSTO
