disease	predictor	samples	test	case	control	OddsRatio	low	high	p-value	cohort
HF	PRS_GenMetS	matched	case-control	295	295	1.539	1.297	1.839	1.21e-06	ATTRaCT women
HF	PRS_PGS000828_WC1	matched	case-control	295	295	1.155	0.986	1.355	7.6e-02	ATTRaCT women
HF	PRS_PGS001227_WC2	matched	case-control	295	295	1.372	1.16	1.628	2.5e-04	ATTRaCT women
HF	PRS_PGS000661_LDL1	matched	case-control	295	295	0.802	0.683	0.939	6.56e-03	ATTRaCT women
HF	PRS_PGS000891_LDL2	matched	case-control	295	295	0.923	0.789	1.077	3.09e-01	ATTRaCT women
HF	PRS_PGS000660_HDL1	matched	case-control	295	295	1.209	1.03	1.422	2.14e-02	ATTRaCT women
HF	PRS_PGS000686_HDL2	matched	case-control	295	295	0.895	0.762	1.05	1.74e-01	ATTRaCT women
HF	PRS_PGS000659_TG1	matched	case-control	295	295	0.846	0.717	0.996	4.62e-02	ATTRaCT women
HF	PRS_PGS000699_TG2	matched	case-control	295	295	0.875	0.742	1.031	1.11e-01	ATTRaCT women
HF	PRS_PGS000306_GLU1	matched	case-control	295	295	1.007	0.861	1.177	9.35e-01	ATTRaCT women
HF	PRS_PGS000684_GLU2	matched	case-control	295	295	0.978	0.826	1.157	7.94e-01	ATTRaCT women
HF	PRS_PGS000685_HbA1c	matched	case-control	295	295	0.957	0.814	1.126	5.98e-01	ATTRaCT women
HF	PRS_PGS001133_DBP1	matched	case-control	295	295	1.157	0.981	1.367	8.46e-02	ATTRaCT women
HF	PRS_PGS000302_DBP2	matched	case-control	295	295	1.128	0.96	1.327	1.45e-01	ATTRaCT women
HF	PRS_PGS000301_SBP1	matched	case-control	295	295	1.236	1.05	1.459	1.16e-02	ATTRaCT women
HF	PRS_PGS001134_SBP2	matched	case-control	295	295	1.247	1.06	1.472	8.25e-03	ATTRaCT women
HF	PRS_Lind2019	matched	case-control	295	295	0.926	0.787	1.089	3.55e-01	ATTRaCT women
HF	PRS_Walree2022	matched	case-control	295	295	1.296	1.105	1.527	1.62e-03	ATTRaCT women
CAD	PRS_GenMetS	matched	case-control	107	107	0.917	0.719	1.166	4.79e-01	ATTRaCT women
CAD	PRS_PGS000828_WC1	matched	case-control	107	107	0.99	0.759	1.29	9.4e-01	ATTRaCT women
CAD	PRS_PGS001227_WC2	matched	case-control	107	107	1.182	0.892	1.576	2.48e-01	ATTRaCT women
CAD	PRS_PGS000661_LDL1	matched	case-control	107	107	0.969	0.745	1.258	8.11e-01	ATTRaCT women
CAD	PRS_PGS000891_LDL2	matched	case-control	107	107	0.945	0.726	1.228	6.73e-01	ATTRaCT women
CAD	PRS_PGS000660_HDL1	matched	case-control	107	107	0.916	0.705	1.187	5.07e-01	ATTRaCT women
CAD	PRS_PGS000686_HDL2	matched	case-control	107	107	0.946	0.724	1.231	6.78e-01	ATTRaCT women
CAD	PRS_PGS000659_TG1	matched	case-control	107	107	0.768	0.577	1.011	6.32e-02	ATTRaCT women
CAD	PRS_PGS000699_TG2	matched	case-control	107	107	1.002	0.768	1.306	9.91e-01	ATTRaCT women
CAD	PRS_PGS000306_GLU1	matched	case-control	107	107	0.748	0.556	0.996	4.95e-02	ATTRaCT women
CAD	PRS_PGS000684_GLU2	matched	case-control	107	107	0.98	0.731	1.312	8.9e-01	ATTRaCT women
CAD	PRS_PGS000685_HbA1c	matched	case-control	107	107	1.02	0.78	1.335	8.85e-01	ATTRaCT women
CAD	PRS_PGS001133_DBP1	matched	case-control	107	107	0.985	0.755	1.284	9.11e-01	ATTRaCT women
CAD	PRS_PGS000302_DBP2	matched	case-control	107	107	0.776	0.592	1.007	5.99e-02	ATTRaCT women
CAD	PRS_PGS000301_SBP1	matched	case-control	107	107	0.783	0.601	1.012	6.49e-02	ATTRaCT women
CAD	PRS_PGS001134_SBP2	matched	case-control	107	107	1.095	0.847	1.42	4.87e-01	ATTRaCT women
CAD	PRS_Lind2019	matched	case-control	107	107	1.028	0.777	1.362	8.45e-01	ATTRaCT women
CAD	PRS_Walree2022	matched	case-control	107	107	1.011	0.775	1.32	9.33e-01	ATTRaCT women
MI	PRS_GenMetS	matched	case-control	46	46	1.095	0.777	1.553	6.05e-01	ATTRaCT women
MI	PRS_PGS000828_WC1	matched	case-control	46	46	0.973	0.63	1.499	9e-01	ATTRaCT women
MI	PRS_PGS001227_WC2	matched	case-control	46	46	1.265	0.823	1.982	2.9e-01	ATTRaCT women
MI	PRS_PGS000661_LDL1	matched	case-control	46	46	1.246	0.838	1.885	2.84e-01	ATTRaCT women
MI	PRS_PGS000891_LDL2	matched	case-control	46	46	1.271	0.846	1.95	2.56e-01	ATTRaCT women
MI	PRS_PGS000660_HDL1	matched	case-control	46	46	0.745	0.477	1.138	1.8e-01	ATTRaCT women
MI	PRS_PGS000686_HDL2	matched	case-control	46	46	0.882	0.588	1.303	5.31e-01	ATTRaCT women
MI	PRS_PGS000659_TG1	matched	case-control	46	46	0.91	0.584	1.4	6.67e-01	ATTRaCT women
MI	PRS_PGS000699_TG2	matched	case-control	46	46	0.98	0.64	1.498	9.24e-01	ATTRaCT women
MI	PRS_PGS000306_GLU1	matched	case-control	46	46	1.349	0.872	2.14	1.87e-01	ATTRaCT women
MI	PRS_PGS000684_GLU2	matched	case-control	46	46	0.815	0.511	1.276	3.77e-01	ATTRaCT women
MI	PRS_PGS000685_HbA1c	matched	case-control	46	46	1.268	0.826	1.983	2.83e-01	ATTRaCT women
MI	PRS_PGS001133_DBP1	matched	case-control	46	46	1.408	0.954	2.132	9.25e-02	ATTRaCT women
MI	PRS_PGS000302_DBP2	matched	case-control	46	46	1.055	0.726	1.539	7.8e-01	ATTRaCT women
MI	PRS_PGS000301_SBP1	matched	case-control	46	46	0.886	0.604	1.289	5.28e-01	ATTRaCT women
MI	PRS_PGS001134_SBP2	matched	case-control	46	46	0.962	0.654	1.412	8.43e-01	ATTRaCT women
MI	PRS_Lind2019	matched	case-control	46	46	1.018	0.678	1.531	9.31e-01	ATTRaCT women
MI	PRS_Walree2022	matched	case-control	46	46	1.286	0.82	2.056	2.79e-01	ATTRaCT women
HTN	PRS_GenMetS	matched	case-control	349	349	1.388	1.187	1.631	4.88e-05	ATTRaCT women
HTN	PRS_PGS000828_WC1	matched	case-control	349	349	1.079	0.933	1.249	3.08e-01	ATTRaCT women
HTN	PRS_PGS001227_WC2	matched	case-control	349	349	1.279	1.101	1.489	1.42e-03	ATTRaCT women
HTN	PRS_PGS000661_LDL1	matched	case-control	349	349	0.871	0.75	1.009	6.7e-02	ATTRaCT women
HTN	PRS_PGS000891_LDL2	matched	case-control	349	349	0.935	0.806	1.084	3.74e-01	ATTRaCT women
HTN	PRS_PGS000660_HDL1	matched	case-control	349	349	1.231	1.062	1.43	6.18e-03	ATTRaCT women
HTN	PRS_PGS000686_HDL2	matched	case-control	349	349	1.027	0.889	1.187	7.18e-01	ATTRaCT women
HTN	PRS_PGS000659_TG1	matched	case-control	349	349	0.99	0.853	1.148	8.91e-01	ATTRaCT women
HTN	PRS_PGS000699_TG2	matched	case-control	349	349	0.961	0.828	1.114	5.94e-01	ATTRaCT women
HTN	PRS_PGS000306_GLU1	matched	case-control	349	349	1.037	0.895	1.203	6.25e-01	ATTRaCT women
HTN	PRS_PGS000684_GLU2	matched	case-control	349	349	0.966	0.831	1.122	6.51e-01	ATTRaCT women
HTN	PRS_PGS000685_HbA1c	matched	case-control	349	349	0.964	0.829	1.121	6.35e-01	ATTRaCT women
HTN	PRS_PGS001133_DBP1	matched	case-control	349	349	1.182	1.019	1.373	2.76e-02	ATTRaCT women
HTN	PRS_PGS000302_DBP2	matched	case-control	349	349	1.113	0.959	1.295	1.61e-01	ATTRaCT women
HTN	PRS_PGS000301_SBP1	matched	case-control	349	349	1.322	1.135	1.544	3.83e-04	ATTRaCT women
HTN	PRS_PGS001134_SBP2	matched	case-control	349	349	1.396	1.199	1.632	2.12e-05	ATTRaCT women
HTN	PRS_Lind2019	matched	case-control	349	349	0.966	0.832	1.121	6.49e-01	ATTRaCT women
HTN	PRS_Walree2022	matched	case-control	349	349	1.148	0.991	1.333	6.73e-02	ATTRaCT women
COPD	PRS_GenMetS	matched	case-control	30	30	1.696	1.007	3.087	6.01e-02	ATTRaCT women
COPD	PRS_PGS000828_WC1	matched	case-control	30	30	1.04	0.577	1.882	8.96e-01	ATTRaCT women
COPD	PRS_PGS001227_WC2	matched	case-control	30	30	1.389	0.77	2.606	2.84e-01	ATTRaCT women
COPD	PRS_PGS000661_LDL1	matched	case-control	30	30	0.988	0.602	1.621	9.62e-01	ATTRaCT women
COPD	PRS_PGS000891_LDL2	matched	case-control	30	30	0.828	0.426	1.525	5.5e-01	ATTRaCT women
COPD	PRS_PGS000660_HDL1	matched	case-control	30	30	1.714	0.959	3.248	7.94e-02	ATTRaCT women
COPD	PRS_PGS000686_HDL2	matched	case-control	30	30	0.985	0.546	1.773	9.59e-01	ATTRaCT women
COPD	PRS_PGS000659_TG1	matched	case-control	30	30	0.719	0.388	1.285	2.75e-01	ATTRaCT women
COPD	PRS_PGS000699_TG2	matched	case-control	30	30	0.894	0.488	1.617	7.1e-01	ATTRaCT women
COPD	PRS_PGS000306_GLU1	matched	case-control	30	30	1.66	0.978	3	7.17e-02	ATTRaCT women
COPD	PRS_PGS000684_GLU2	matched	case-control	30	30	0.66	0.358	1.177	1.68e-01	ATTRaCT women
COPD	PRS_PGS000685_HbA1c	matched	case-control	30	30	1.193	0.694	2.085	5.24e-01	ATTRaCT women
COPD	PRS_PGS001133_DBP1	matched	case-control	30	30	1.207	0.728	2.043	4.68e-01	ATTRaCT women
COPD	PRS_PGS000302_DBP2	matched	case-control	30	30	1.609	0.922	3.006	1.09e-01	ATTRaCT women
COPD	PRS_PGS000301_SBP1	matched	case-control	30	30	2.515	1.324	5.513	1.03e-02	ATTRaCT women
COPD	PRS_PGS001134_SBP2	matched	case-control	30	30	1.438	0.822	2.639	2.15e-01	ATTRaCT women
COPD	PRS_Lind2019	matched	case-control	30	30	0.941	0.547	1.608	8.24e-01	ATTRaCT women
COPD	PRS_Walree2022	matched	case-control	30	30	1.213	0.695	2.172	5e-01	ATTRaCT women
DEPRESSION	PRS_GenMetS	matched	case-control	13	13	0.586	0.213	1.303	2.29e-01	ATTRaCT women
DEPRESSION	PRS_PGS000828_WC1	matched	case-control	13	13	0.811	0.372	1.611	5.56e-01	ATTRaCT women
DEPRESSION	PRS_PGS001227_WC2	matched	case-control	13	13	1.303	0.63	2.884	4.82e-01	ATTRaCT women
DEPRESSION	PRS_PGS000661_LDL1	matched	case-control	13	13	1.224	0.61	2.585	5.71e-01	ATTRaCT women
DEPRESSION	PRS_PGS000891_LDL2	matched	case-control	13	13	1.323	0.591	3.392	5.07e-01	ATTRaCT women
DEPRESSION	PRS_PGS000660_HDL1	matched	case-control	13	13	1.467	0.658	3.63	3.63e-01	ATTRaCT women
DEPRESSION	PRS_PGS000686_HDL2	matched	case-control	13	13	1.144	0.529	2.557	7.31e-01	ATTRaCT women
DEPRESSION	PRS_PGS000659_TG1	matched	case-control	13	13	1.086	0.55	2.188	8.1e-01	ATTRaCT women
DEPRESSION	PRS_PGS000699_TG2	matched	case-control	13	13	1.375	0.556	3.643	4.96e-01	ATTRaCT women
DEPRESSION	PRS_PGS000306_GLU1	matched	case-control	13	13	0.468	0.144	1.068	1.3e-01	ATTRaCT women
DEPRESSION	PRS_PGS000684_GLU2	matched	case-control	13	13	0.915	0.395	2.048	8.24e-01	ATTRaCT women
DEPRESSION	PRS_PGS000685_HbA1c	matched	case-control	13	13	1.016	0.475	2.184	9.66e-01	ATTRaCT women
DEPRESSION	PRS_PGS001133_DBP1	matched	case-control	13	13	0.871	0.393	1.874	7.22e-01	ATTRaCT women
DEPRESSION	PRS_PGS000302_DBP2	matched	case-control	13	13	0.828	0.36	1.812	6.37e-01	ATTRaCT women
DEPRESSION	PRS_PGS000301_SBP1	matched	case-control	13	13	0.847	0.385	1.709	6.42e-01	ATTRaCT women
DEPRESSION	PRS_PGS001134_SBP2	matched	case-control	13	13	0.895	0.389	1.999	7.83e-01	ATTRaCT women
DEPRESSION	PRS_Lind2019	matched	case-control	13	13	1.013	0.424	2.423	9.77e-01	ATTRaCT women
DEPRESSION	PRS_Walree2022	matched	case-control	13	13	0.914	0.492	1.643	7.61e-01	ATTRaCT women
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DM	PRS_GenMetS	matched	case-control	535	535	1.459	1.291	1.655	2.18e-09	ATTRaCT men
T2DM	PRS_PGS000828_WC1	matched	case-control	535	535	1.12	0.996	1.261	5.98e-02	ATTRaCT men
T2DM	PRS_PGS001227_WC2	matched	case-control	535	535	1.266	1.119	1.434	1.91e-04	ATTRaCT men
T2DM	PRS_PGS000661_LDL1	matched	case-control	535	535	0.961	0.853	1.082	5.11e-01	ATTRaCT men
T2DM	PRS_PGS000891_LDL2	matched	case-control	535	535	1.052	0.932	1.187	4.11e-01	ATTRaCT men
T2DM	PRS_PGS000660_HDL1	matched	case-control	535	535	1.051	0.931	1.186	4.22e-01	ATTRaCT men
T2DM	PRS_PGS000686_HDL2	matched	case-control	535	535	0.99	0.878	1.117	8.76e-01	ATTRaCT men
T2DM	PRS_PGS000659_TG1	matched	case-control	535	535	1.066	0.945	1.203	3.03e-01	ATTRaCT men
T2DM	PRS_PGS000699_TG2	matched	case-control	535	535	0.971	0.861	1.095	6.29e-01	ATTRaCT men
T2DM	PRS_PGS000306_GLU1	matched	case-control	535	535	1.162	1.03	1.313	1.54e-02	ATTRaCT men
T2DM	PRS_PGS000684_GLU2	matched	case-control	535	535	1.137	1.006	1.285	3.99e-02	ATTRaCT men
T2DM	PRS_PGS000685_HbA1c	matched	case-control	535	535	1.222	1.083	1.381	1.23e-03	ATTRaCT men
T2DM	PRS_PGS001133_DBP1	matched	case-control	535	535	0.96	0.851	1.081	4.98e-01	ATTRaCT men
T2DM	PRS_PGS000302_DBP2	matched	case-control	535	535	0.892	0.79	1.006	6.28e-02	ATTRaCT men
T2DM	PRS_PGS000301_SBP1	matched	case-control	535	535	1.005	0.89	1.135	9.33e-01	ATTRaCT men
T2DM	PRS_PGS001134_SBP2	matched	case-control	535	535	1.041	0.922	1.175	5.15e-01	ATTRaCT men
T2DM	PRS_Lind2019	matched	case-control	535	535	0.977	0.866	1.102	7.06e-01	ATTRaCT men
T2DM	PRS_Walree2022	matched	case-control	535	535	1.368	1.21	1.549	6.47e-07	ATTRaCT men
STROKE	PRS_GenMetS	matched	case-control	105	105	1.364	1.05	1.794	2.25e-02	ATTRaCT men
STROKE	PRS_PGS000828_WC1	matched	case-control	105	105	1.045	0.816	1.339	7.28e-01	ATTRaCT men
STROKE	PRS_PGS001227_WC2	matched	case-control	105	105	0.857	0.656	1.114	2.51e-01	ATTRaCT men
STROKE	PRS_PGS000661_LDL1	matched	case-control	105	105	0.998	0.764	1.302	9.86e-01	ATTRaCT men
STROKE	PRS_PGS000891_LDL2	matched	case-control	105	105	1.076	0.819	1.421	5.98e-01	ATTRaCT men
STROKE	PRS_PGS000660_HDL1	matched	case-control	105	105	0.951	0.714	1.265	7.3e-01	ATTRaCT men
STROKE	PRS_PGS000686_HDL2	matched	case-control	105	105	1.181	0.877	1.6	2.75e-01	ATTRaCT men
STROKE	PRS_PGS000659_TG1	matched	case-control	105	105	1.071	0.822	1.398	6.14e-01	ATTRaCT men
STROKE	PRS_PGS000699_TG2	matched	case-control	105	105	0.88	0.672	1.146	3.44e-01	ATTRaCT men
STROKE	PRS_PGS000306_GLU1	matched	case-control	105	105	0.872	0.645	1.173	3.68e-01	ATTRaCT men
STROKE	PRS_PGS000684_GLU2	matched	case-control	105	105	1.282	0.984	1.683	6.87e-02	ATTRaCT men
STROKE	PRS_PGS000685_HbA1c	matched	case-control	105	105	0.811	0.609	1.071	1.44e-01	ATTRaCT men
STROKE	PRS_PGS001133_DBP1	matched	case-control	105	105	1.089	0.836	1.423	5.27e-01	ATTRaCT men
STROKE	PRS_PGS000302_DBP2	matched	case-control	105	105	1.145	0.888	1.486	2.99e-01	ATTRaCT men
STROKE	PRS_PGS000301_SBP1	matched	case-control	105	105	1.05	0.809	1.364	7.14e-01	ATTRaCT men
STROKE	PRS_PGS001134_SBP2	matched	case-control	105	105	1.193	0.912	1.572	2.02e-01	ATTRaCT men
STROKE	PRS_Lind2019	matched	case-control	105	105	0.9	0.693	1.165	4.25e-01	ATTRaCT men
STROKE	PRS_Walree2022	matched	case-control	105	105	1.102	0.85	1.434	4.64e-01	ATTRaCT men
PVD	PRS_GenMetS	matched	case-control	52	52	1.339	0.964	1.888	8.65e-02	ATTRaCT men
PVD	PRS_PGS000828_WC1	matched	case-control	52	52	0.999	0.671	1.489	9.97e-01	ATTRaCT men
PVD	PRS_PGS001227_WC2	matched	case-control	52	52	1.42	0.984	2.11	6.85e-02	ATTRaCT men
PVD	PRS_PGS000661_LDL1	matched	case-control	52	52	0.831	0.57	1.195	3.22e-01	ATTRaCT men
PVD	PRS_PGS000891_LDL2	matched	case-control	52	52	0.939	0.635	1.378	7.45e-01	ATTRaCT men
PVD	PRS_PGS000660_HDL1	matched	case-control	52	52	2.029	1.316	3.28	2.2e-03	ATTRaCT men
PVD	PRS_PGS000686_HDL2	matched	case-control	52	52	1.282	0.856	1.955	2.34e-01	ATTRaCT men
PVD	PRS_PGS000659_TG1	matched	case-control	52	52	1.489	0.927	2.443	1.05e-01	ATTRaCT men
PVD	PRS_PGS000699_TG2	matched	case-control	52	52	1.044	0.726	1.507	8.15e-01	ATTRaCT men
PVD	PRS_PGS000306_GLU1	matched	case-control	52	52	0.919	0.614	1.369	6.77e-01	ATTRaCT men
PVD	PRS_PGS000684_GLU2	matched	case-control	52	52	0.944	0.647	1.372	7.63e-01	ATTRaCT men
PVD	PRS_PGS000685_HbA1c	matched	case-control	52	52	1.074	0.756	1.532	6.9e-01	ATTRaCT men
PVD	PRS_PGS001133_DBP1	matched	case-control	52	52	1.095	0.74	1.632	6.5e-01	ATTRaCT men
PVD	PRS_PGS000302_DBP2	matched	case-control	52	52	0.843	0.579	1.21	3.58e-01	ATTRaCT men
PVD	PRS_PGS000301_SBP1	matched	case-control	52	52	0.778	0.529	1.122	1.87e-01	ATTRaCT men
PVD	PRS_PGS001134_SBP2	matched	case-control	52	52	0.883	0.614	1.259	4.94e-01	ATTRaCT men
PVD	PRS_Lind2019	matched	case-control	52	52	1.304	0.884	1.957	1.87e-01	ATTRaCT men
PVD	PRS_Walree2022	matched	case-control	52	52	1.029	0.708	1.499	8.81e-01	ATTRaCT men
HF	PRS_GenMetS	matched	case-control	480	480	1.328	1.162	1.523	3.72e-05	ATTRaCT men
HF	PRS_PGS000828_WC1	matched	case-control	480	480	1.108	0.974	1.262	1.21e-01	ATTRaCT men
HF	PRS_PGS001227_WC2	matched	case-control	480	480	1.407	1.233	1.61	5.16e-07	ATTRaCT men
HF	PRS_PGS000661_LDL1	matched	case-control	480	480	1.137	1.002	1.292	4.78e-02	ATTRaCT men
HF	PRS_PGS000891_LDL2	matched	case-control	480	480	1.134	0.999	1.288	5.3e-02	ATTRaCT men
HF	PRS_PGS000660_HDL1	matched	case-control	480	480	1.079	0.954	1.222	2.27e-01	ATTRaCT men
HF	PRS_PGS000686_HDL2	matched	case-control	480	480	0.892	0.786	1.012	7.71e-02	ATTRaCT men
HF	PRS_PGS000659_TG1	matched	case-control	480	480	1.07	0.944	1.214	2.92e-01	ATTRaCT men
HF	PRS_PGS000699_TG2	matched	case-control	480	480	1.084	0.953	1.233	2.22e-01	ATTRaCT men
HF	PRS_PGS000306_GLU1	matched	case-control	480	480	1.126	0.992	1.28	6.67e-02	ATTRaCT men
HF	PRS_PGS000684_GLU2	matched	case-control	480	480	1.095	0.966	1.242	1.56e-01	ATTRaCT men
HF	PRS_PGS000685_HbA1c	matched	case-control	480	480	1.093	0.96	1.245	1.79e-01	ATTRaCT men
HF	PRS_PGS001133_DBP1	matched	case-control	480	480	1.17	1.03	1.331	1.64e-02	ATTRaCT men
HF	PRS_PGS000302_DBP2	matched	case-control	480	480	1.113	0.981	1.265	9.78e-02	ATTRaCT men
HF	PRS_PGS000301_SBP1	matched	case-control	480	480	1.243	1.093	1.416	9.92e-04	ATTRaCT men
HF	PRS_PGS001134_SBP2	matched	case-control	480	480	1.191	1.048	1.356	7.71e-03	ATTRaCT men
